Width Items Result ProblemSolvingTime TotalTime Nthreads
100 5000 4801 0.006499 0.008681 1
100 5000 4801 0.009777 0.020283 2
100 5000 4801 0.010489 0.012794 3
100 5000 4801 0.011471 0.017430 4
10000 500 1728 0.031741 0.036622 1
10000 500 1728 0.026500 0.033703 2
10000 500 1728 0.021226 0.028074 3
10000 500 1728 0.016585 0.022191 4
1000 500 1722 0.006322 0.007202 1
1000 500 1722 0.005011 0.012413 2
1000 500 1722 0.004786 0.006909 3
1000 500 1722 0.004219 0.005388 4
100 500 1782 0.000683 0.001635 1
100 500 1782 0.001195 0.006358 2
100 500 1782 0.001206 0.001990 3
100 500 1782 0.001346 0.002312 4
10000 50 546 0.006583 0.011769 1
10000 50 546 0.002277 0.015936 2
10000 50 546 0.003352 0.011115 3
10000 50 546 0.002701 0.003869 4
1000 50 533 0.000660 0.004059 1
1000 50 533 0.000757 0.008135 2
1000 50 533 0.000641 0.001529 3
1000 50 533 0.000503 0.004325 4
100 50 700 0.000093 0.000721 1
100 50 700 0.000279 0.001737 2
100 50 700 0.000269 0.001188 3
100 50 700 0.000275 0.003673 4
5 5 84 0.000027 0.000996 1
5 5 84 0.000073 0.000801 2
5 5 84 0.000085 0.000687 3
5 5 84 0.000172 0.001239 4
1000000 600000 63934 3829.942943 3830.070091 1
1000000 600000 63934 2501.966900 2502.131982 2
1000000 600000 63934 1830.083068 1830.192082 3
1000000 600000 63934 1399.334691 1399.482688 4
100000 600000 61866 370.900882 371.002261 1
100000 600000 61866 254.307088 254.413974 2
100000 600000 61866 177.980401 178.084720 3
100000 600000 61866 139.893741 140.107574 4
10000 600000 63616 37.782212 37.902310 1
10000 600000 63616 25.826138 25.928435 2
10000 600000 63616 17.962558 18.068778 3
10000 600000 63616 14.446057 14.598059 4
1000 600000 50399 3.816604 3.935669 1
1000 600000 50399 3.099261 3.197195 2
1000 600000 50399 2.280651 2.378082 3
1000 600000 50399 1.931352 2.138706 4
1000000 700000 69007 4500.108571 4500.285552 1
1000000 700000 69007 2952.816993 2952.943486 2
1000000 700000 69007 2155.252696 2155.429190 3
1000000 700000 69007 1651.288085 1651.415953 4
100000 700000 69713 435.764398 435.882674 1
100000 700000 69713 293.000581 293.123432 2
100000 700000 69713 209.091644 209.223077 3
100000 700000 69713 163.465855 163.706672 4
10000 700000 67030 43.899092 44.012745 1
10000 700000 67030 33.819369 34.034404 2
10000 700000 67030 21.549997 21.705644 3
10000 700000 67030 17.573240 17.704220 4
1000 700000 52866 4.433156 4.544524 1
1000 700000 52866 3.822280 3.937714 2
1000 700000 52866 2.584516 2.705916 3
1000 700000 52866 2.259217 2.499412 4
1000000 800000 73767 5001.608645 5001.787275 1
1000000 800000 73767 3317.943169 3318.114607 2
1000000 800000 73767 2435.186907 2435.337901 3
1000000 800000 73767 1866.061600 1866.231219 4
100000 800000 74302 502.348394 502.492870 1
100000 800000 74302 344.833240 344.972619 2
100000 800000 74302 245.484099 245.630199 3
100000 800000 74302 185.185110 185.360533 4
10000 800000 71138 50.473040 50.618728 1
10000 800000 71138 35.472027 35.608395 2
10000 800000 71138 24.838317 25.018282 3
10000 800000 71138 20.076516 20.233059 4
1000 800000 55329 5.006734 5.154002 1
1000 800000 55329 3.870034 4.030542 2
1000 800000 55329 3.074548 3.243961 3
1000 800000 55329 2.572354 2.725736 4
